sym,rv_now,rv_pct,ddown,price,ambush
TLT,7.3,1.8,-5.8,86.75,192.4
LQD,5.2,24.2,-3.4,109.07,172.39999999999998
KRE,21.9,29.4,-2.5,71.75,168.1
IEF,5.1,30.3,-3.7,94.36,166.0
JNK,4.4,43.8,-1.8,96.41,154.4
UNG,42.5,16.9,-35.0,11.76,148.1
EWZ,21.0,38.0,-19.2,33.71,142.8
FXI,20.5,37.0,-20.2,33.31,142.8
HYG,4.5,55.7,-1.6,80.0,142.7
XLF,14.5,60.7,-5.0,53.58,134.3
IWM,22.9,75.3,0.0,295.75,124.7
XLRE,17.7,74.9,-3.2,43.9,121.89999999999999
DIA,14.8,77.4,-1.0,516.28,121.6
ARKK,43.0,70.9,-13.2,80.28,115.89999999999999
SPY,16.4,83.3,-1.5,747.94,115.2
XLI,20.6,88.5,0.0,181.29,111.5
XLU,18.6,85.8,-6.2,44.78,108.0
XLV,18.0,88.1,-6.6,149.59,105.30000000000001
SMH,61.4,95.5,0.0,659.87,104.5
QQQ,30.0,95.0,-0.8,740.55,104.2
SOXL,220.5,97.0,0.0,281.55,103.0
EEM,38.4,97.3,-0.0,70.78,102.7
XLK,41.5,96.3,-3.3,191.7,100.4
XLE,24.4,86.3,-14.1,53.72,99.60000000000001
XLP,17.0,94.8,-7.4,83.39,97.8
GLD,28.6,83.4,-22.0,387.01,94.6
USO,41.8,81.6,-24.9,114.82,93.5
SLV,48.6,80.9,-43.6,59.56,75.5
